City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Ugoofaaru,MV,83.53,broken clouds,5.6667,73.0,Ungoofaaru Inn
11,Xilitla,MX,75.79,overcast clouds,21.3333,-98.9667,Rio Tancuilin
16,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
19,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
20,Avarua,CK,77.0,few clouds,-21.2078,-159.775,Paradise Inn
22,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Saint-Paul,RE,77.0,broken clouds,-21.0096,55.2707,Boucan Canot
29,Sao Miguel,BR,87.8,scattered clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
40,Victoria,HK,75.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
42,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
44,Owando,CG,77.32,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
45,Rikitea,PF,77.43,broken clouds,-23.1203,-134.9692,Pension Maro'i
48,Puerto Escondido,MX,82.4,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
49,San Policarpo,PH,77.63,overcast clouds,12.1791,125.5072,JM Lodge
54,Cabo San Lucas,MX,82.4,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
57,Butaritari,KI,80.96,moderate rain,3.0707,172.7902,Isles Sunset Lodge
60,Cobija,BO,82.4,broken clouds,-11.0267,-68.7692,Hotel Obelisco
64,Hithadhoo,MV,82.99,broken clouds,-0.6,73.0833,Scoop Guest House
65,Caravelas,BR,83.95,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
66,Imbituba,BR,75.2,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
72,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
75,Ambanja,MG,77.74,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
78,Mogadishu,SO,83.35,overcast clouds,2.0371,45.3438,Hotel Juba
79,Bengkulu,ID,76.26,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
80,Kavieng,PG,82.33,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
81,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
86,Bambous Virieux,MU,78.8,broken clouds,-20.3428,57.7575,Casa Tia Villa
92,Lamu,KE,80.69,light rain,-2.2717,40.902,Lamu House
94,Axim,GH,84.4,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
101,Karratha,AU,75.78,clear sky,-20.7377,116.8463,ibis Styles Karratha
102,Aloleng,PH,81.63,overcast clouds,16.1307,119.7824,Agno Umbrella Rocks
103,Anloga,GH,86.0,few clouds,5.7947,0.8973,Pin Drop Hotel
108,Atuona,PF,80.6,few clouds,-9.8,-139.0333,Villa Enata
109,Hambantota,LK,80.47,scattered clouds,6.1241,81.1185,Bungalow 63
110,Banda Aceh,ID,81.25,overcast clouds,5.5577,95.3222,Sulthan Hotel International
115,Marigot,MF,86.0,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
117,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
121,Biak,ID,76.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
123,Kuala Terengganu,MY,80.6,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
132,Cravinhos,BR,78.8,scattered clouds,-21.3403,-47.7294,Ônix Inn Hotel Cravinhos
135,Sur,OM,83.66,broken clouds,22.5667,59.5289,Sur Plaza Hotel
143,Kavaratti,IN,84.47,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
150,Arraial Do Cabo,BR,80.6,few clouds,-22.9661,-42.0278,Pousada Porto Praia
163,Rudbar,AF,80.91,clear sky,30.15,62.6,
168,Kulim,MY,82.99,few clouds,5.365,100.5618,Hotel Kulim
170,Sal Rei,CV,75.2,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
172,Pointe Michel,DM,87.8,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
176,Bonthe,SL,86.58,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
183,Pekan,MY,78.8,few clouds,3.4836,103.3996,Pekan Budget Hotel
188,Caxito,AO,78.8,light rain,-8.5785,13.6643,
194,Mbandaka,CD,79.65,broken clouds,0.0487,18.2603,Guest House Epervier
195,Salalah,OM,84.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
198,Garowe,SO,82.11,overcast clouds,8.4054,48.4845,Curubo Hotel
206,Sibolga,ID,77.45,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
208,Balabac,PH,81.27,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
209,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
216,Wattegama,LK,75.81,few clouds,6.7989,81.4808,
221,Santa Elena,EC,80.6,clear sky,-2.2333,-80.85,HOTEL CISNE II
222,Tagusao,PH,80.26,overcast clouds,9.1924,117.8141,Toledo
231,San Patricio,US,78.01,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
234,Taganak,PH,82.0,few clouds,6.0833,118.3,Taganak
236,Mangrol,IN,80.89,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
237,Iracoubo,GF,78.04,light rain,5.4802,-53.2011,Le Gite D Iracoubo
238,Sabang,ID,84.15,overcast clouds,5.8933,95.3214,Hotel Citra
240,Boa Vista,BR,89.6,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
241,Mitsamiouli,KM,81.34,light rain,-11.3847,43.2844,Foyer ADM
242,Salinopolis,BR,81.18,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
243,Georgetown,MY,82.99,few clouds,5.4112,100.3354,Cititel Penang
245,Tangara,BR,86.0,scattered clouds,-6.1994,-35.8017,Pousada Gonçalves
256,Bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
257,San Luis,AR,80.17,few clouds,-33.295,-66.3356,Huarpes Hotel
262,Callaguip,PH,79.09,overcast clouds,18.0714,120.4867,Pangil Beach Resort
263,Cockburn Town,TC,82.4,few clouds,21.4612,-71.1419,Osprey Beach Hotel
266,Gainesville,US,75.2,overcast clouds,29.6516,-82.3248,Holiday Inn Gainesville-University Ctr
273,Saldanha,ZA,75.2,broken clouds,-33.0117,17.9442,Blue Bay Lodge
274,Espinosa,BR,80.13,broken clouds,-14.9261,-42.8192,Hotel Vilma
276,Grand Gaube,MU,78.01,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
278,Ambon,ID,80.76,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
283,Olinda,BR,82.4,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
286,Dhidhdhoo,MV,84.74,overcast clouds,6.8833,73.1,Dhidhoo beach
287,Dingle,PH,77.2,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
288,Quatre Cocos,MU,78.8,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
290,Cap Malheureux,MU,78.01,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
291,Kalmunai,LK,80.76,few clouds,7.4167,81.8167,VS Villa
292,Fort Wellington,GY,83.68,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
297,Porto Novo,BJ,86.0,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
298,Puerto Cabezas,NI,86.0,broken clouds,14.0351,-83.3888,Cabaña Caribe
311,Inongo,CD,78.03,broken clouds,-1.95,18.2667,Hotel Du Lac
318,Poum,NC,77.36,scattered clouds,-20.2333,164.0167,Gîte kajeon
322,Matara,LK,78.51,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
323,Rio Brilhante,BR,89.49,clear sky,-21.8019,-54.5464,Hotel Cattani
324,Porbandar,IN,82.4,haze,21.6422,69.6093,Lords Inn Porbandar
325,Pizarro,CO,80.85,light rain,4.9533,-77.366,Hotel Limonar
327,Paciran,ID,77.43,few clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
328,Zhuhai,CN,75.2,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
330,Providencia,MX,84.0,clear sky,28.7167,-111.5833,
333,Isangel,VU,77.5,overcast clouds,-19.55,169.2667,Tanna Lodge
335,Turan,VN,77.0,few clouds,16.0678,108.2208,Sun River Hotel
336,Wanning,CN,77.34,overcast clouds,18.8003,110.3967,Paradise Hotel
346,Buala,SB,80.98,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
347,Port Blair,IN,81.86,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
349,Ratnagiri,IN,81.23,broken clouds,16.9833,73.3,Hotel Landmark
350,Mar Del Plata,AR,77.0,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
351,Behshahr,IR,77.92,scattered clouds,36.6923,53.5526,Abbas Abad Hotel & Restaurant
354,Tautira,PF,78.8,light rain,-17.7333,-149.15,Pension Oaoa
355,Riyadh,SA,89.6,clear sky,24.6877,46.7219,InterContinental Riyadh
360,Raymondville,US,78.01,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
369,Mocajuba,BR,83.84,overcast clouds,-2.5842,-49.5072,Hotel Saylon
372,Rio Grande,BR,75.2,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
374,Singkang,MY,78.8,few clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
375,Mount Isa,AU,77.0,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
376,Xuddur,SO,84.07,overcast clouds,4.1213,43.8894,Banjanay Hotel
383,Cerrito,CO,77.0,scattered clouds,6.8432,-72.694,Yariseth juliana
387,San Pedro,PH,82.4,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
388,Bartica,GY,87.8,few clouds,6.4,-58.6167,Relax Inn Hotel
389,Maragogi,BR,82.76,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
390,Tiruchchendur,IN,84.94,overcast clouds,8.4833,78.1167,Hotel Udhayam International
