City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,73.4,88,75,4.61,broken clouds
1,Saint Anthony,US,45.0205,-93.218,39.99,41,90,10.36,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,48.2,61,20,9.22,few clouds
3,Santa Marta,CO,11.2408,-74.199,98.01,52,66,1.01,broken clouds
4,Vaini,TO,-21.2,-175.2,73.4,94,20,3.44,few clouds
5,Bluff,NZ,-46.6,168.3333,52.0,81,43,5.01,scattered clouds
6,Saint George,US,37.1041,-113.5841,66.0,17,1,3.44,clear sky
7,Ballina,AU,-28.8667,153.5667,55.99,94,0,6.11,clear sky
8,Agropoli,IT,40.3469,14.9966,55.0,88,10,4.0,clear sky
9,Bredasdorp,ZA,-34.5322,20.0403,60.8,82,17,8.05,few clouds
10,Ugoofaaru,MV,5.6667,73.0,83.53,73,84,9.98,broken clouds
11,Xilitla,MX,21.3333,-98.9667,75.79,58,92,6.53,overcast clouds
12,Hobart,AU,-42.8794,147.3294,39.2,87,9,9.22,clear sky
13,Albany,US,42.6001,-73.9662,55.99,53,99,3.0,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,52.0,81,33,7.0,scattered clouds
15,Faya,SA,18.3851,42.4509,71.6,63,20,6.91,few clouds
16,Pisco,PE,-13.7,-76.2167,75.2,64,0,18.41,clear sky
17,Beloha,MG,-25.1667,45.05,70.36,75,48,16.2,scattered clouds
18,Sideropolis,BR,-28.5978,-49.4244,73.0,61,41,5.03,scattered clouds
19,Saint-Philippe,RE,-21.3585,55.7679,77.0,88,75,6.91,light rain
20,Avarua,CK,-21.2078,-159.775,77.0,73,20,4.61,few clouds
21,Sitka,US,57.0531,-135.33,42.8,93,75,13.8,broken clouds
22,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,40,16.11,scattered clouds
23,Clyde River,CA,70.4692,-68.5914,6.8,78,20,2.3,few clouds
24,Saint-Paul,RE,-21.0096,55.2707,77.0,83,75,6.91,broken clouds
25,Nanortalik,GL,60.1432,-45.2371,35.6,78,100,2.42,overcast clouds
26,Lebu,CL,-37.6167,-73.65,59.7,72,100,8.48,light rain
27,Copiapo,CL,-27.3667,-70.3333,66.2,52,0,10.36,clear sky
28,Cape Town,ZA,-33.9258,18.4232,64.0,82,0,8.05,clear sky
29,Sao Miguel,BR,-5.4667,-35.3667,87.8,66,40,16.11,scattered clouds
30,Liverpool,GB,53.4106,-2.9779,59.0,51,0,10.36,clear sky
31,Dikson,RU,73.5069,80.5464,4.23,87,100,19.26,overcast clouds
32,Saskylakh,RU,71.9167,114.0833,-16.71,100,49,1.77,scattered clouds
33,Bonito,BR,-21.1211,-56.4819,92.39,25,16,3.42,few clouds
34,New Norfolk,AU,-42.7826,147.0587,39.0,81,6,3.13,clear sky
35,Vao,NC,-22.6667,167.4833,73.24,65,3,9.73,clear sky
36,Inhambane,MZ,-23.865,35.3833,71.6,78,19,10.09,few clouds
37,Qaanaaq,GL,77.484,-69.3632,2.82,70,4,6.15,clear sky
38,Port Hardy,CA,50.6996,-127.4199,48.2,93,90,3.44,overcast clouds
39,Hilo,US,19.7297,-155.09,71.6,73,1,4.61,clear sky
40,Victoria,HK,22.2855,114.1577,75.0,82,31,14.76,scattered clouds
41,Pevek,RU,69.7008,170.3133,20.68,67,79,18.84,broken clouds
42,Mahebourg,MU,-20.4081,57.7,78.8,89,75,6.53,broken clouds
43,Kodiak,US,57.79,-152.4072,42.8,87,90,5.75,overcast clouds
44,Owando,CG,-0.4819,15.8999,77.32,78,65,3.24,broken clouds
45,Rikitea,PF,-23.1203,-134.9692,77.43,71,79,6.67,broken clouds
46,Great Falls,US,47.5002,-111.3008,39.0,75,90,8.05,overcast clouds
47,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,86,90,16.11,light snow
48,Puerto Escondido,MX,15.85,-97.0667,82.4,78,40,8.05,scattered clouds
49,San Policarpo,PH,12.1791,125.5072,77.63,86,100,7.92,overcast clouds
50,Lakes Entrance,AU,-37.8811,147.981,46.99,85,70,1.01,light rain
51,Tiznit,MA,29.5833,-9.5,69.21,40,21,9.82,few clouds
52,Jamestown,US,42.097,-79.2353,41.0,75,90,10.36,overcast clouds
53,Makakilo City,US,21.3469,-158.0858,73.4,78,1,3.44,clear sky
54,Cabo San Lucas,MX,22.8909,-109.9124,82.4,68,1,10.36,clear sky
55,Punta Arenas,CL,-53.15,-70.9167,50.0,53,40,20.71,scattered clouds
56,Upernavik,GL,72.7868,-56.1549,14.09,66,98,3.47,overcast clouds
